idSitiosTuristicos;nomSitio;idProvincia
136;RÍO CANUTO-CABAÑAS EL TOTO;13
137;CENTRO RECREACIONAL BEJUCAL PARK;13
138;CENTRO RECREACIONAL GLAYFER;13
139;CENTRO RECREACIONAL RANCHO LA FAVORITA;13
140;CENTRO RECREACION QUINTA THALIA;13
141;FERIA INTERNACIONAL DEL CHAME;13
142;FESTIVAL DE LA NATILLA;13
143;GASTROFEST;13
144;CENTRO RECREACIONAL LA GUADALUPANA;13
145;BALNEARIO DE AGUA DULCE VISTA HERMOSA;13
146;IGLESIA LA CATEDRAL JESÚS DEL BUEN PASTOR;13
147;PLAYA SANTA MARIANITA;13
148;MUSEO CENTRO CULTURAL MANTA;13
149;MUSEO MUNICIPAL ETNOGRAFICO CANCEBI;13
150;PLAYA EL MURCIÉLAGO;13
151;PLAYA LA BOTADA;13
152;PLAYA DE LIGUIQUI;13
153;PLAYA SAN LORENZO;13
154;SENDERO EL FARO (PLAYA SAN LORENZO);13
155;CUEVA DE LOS TAYOS;14
156;CASCADA MUSAP;14
157;CENTRO SHUAR YUWINTS;14
158;LAGUNAS DE SARDINAYACU DEL PARQUE NACIONAL SANGAY;14
159;DIQUE RÍO NAJEMBAIME;14
160;CENTRO DE INTERPRETACIÓN NATURAL Y CULTURAL DE MACAS;14
161;FIESTA JURADA DE LA PURÍSIMA;14
162;GRUTA DE LA VIRGEN PURÍSIMA DE MACAS;14
163;MONUMENTO A LA VIRGEN LA PUSÍRIMA DE MACAS - MIRADOR QUILAMO;14
164;PARQUE RECREACIONAL JORGE FELIPE RIVADENEIRA RIVADENEIRA;14
165;SANTUARIO NACIONAL PURISIMA DE MACAS;14
166;ZOOLÓGICO HUERTO EL EDEN;14
167;ZOOLÓGICO LOS JAGUARES;14
168;DIQUE RÍO TUNANTS;14
169;CASCADA LAS GEMELAS;14
170;ECOLODGE AMUNTAI;14
171;FINCA NUEVA ESPERANZA;14
172;FINCA PROCEL;14
173;CASCADA KINTIA PANKI;14
174;PARQUE BOTÁNICO;14
175;CASCADA SAMIKIM;14
176;FIESTA DE LA CHONTA - TAISHA;14
177;RÍO PALORA - TRAMO ARAPICOS;14
178;PARQUE ARQUEOLOGICO CATAZHO;14
179;RÍO MORONA-TRAMO TIWINTZA;14
180;RÍO UPANO-TRAMO MACAS;14
181;CENTRO DE INTERPRETACIÓN EXPLORATORIO;15
182;LAGUNA PAPALLACTA;15
183;PEÑA PIVICO;15
184;TERMAS DE PAPALLACTA;15
185;TERMAS DE JAMANCO;15
186;PLAYA PUERTO NAPO;15
187;PLAYA PUERTO MISAHUALLI;15
188;PARQUE MISAHUALLI;15
189;COMUNIDAD SHIRIPUNO - PIEDRA SAGRADA;15
190;CAPILLA DEL SEÑOR DEL ÁRBOL;17
191;MUSEO DE SITIO INTIÑAN;17
192;PARQUE CENTRAL DE SAN ANTONIO;17
193;CATEQUILLA;17
194;"MUSEO ""FRAY PEDRO GOCIAL"" - IGLESIA SAN FRANCISCO";17
195;MONUMENTO VIRGEN DEL PANECILLO;17
196;IGLESIA DE LA COMPAÑÍA DE JESÚS;17
197;LAGUNA CHIRIACU;17
198;LAGUNA MEDIANA (HUARMICOCHA);17
199;BOSQUE CEDRILLOS;17
200;CASCADA CÓNDOR MACHAY;17
201;CASCADA KIMSA;17
202;CASCADA LAS GEMELAS;17
203;CASCADA NIDO DE CURIQUINGUE;17
204;CASCADA SUEÑO DE NOVIA;17
205;CENTRO COMERCIAL RIVER MALL;17
206;CUEVAS DEL ARCOIRIS;17
207;HORNADO - SANGOLQUÍ;17
208;IGLESIA SAN JUAN BAUTISTA DE SANGOLQUÍ;17
209;MONUMENTO AL COLIBRÍ;17
210;PARQUE ALEGRIA;17
211;PILETA LUMINOSA (SANTA MARIA);17
212;PLAZA CENTRAL DE SANGOLQUÍ;17
213;QUINTA BOLIVIA;17
214;VERTIENTE LOS SAUCOS;17
215;IGLESIA SEÑOR DE LOS DOS PUENTES;17
216;PARQUE EDUARDO KINGMAN;17
217;CASCADA MINDO NAMBILLO;17
218;CASCADA REINA;17
219;CONTEO NAVIDEÑO DE AVES;17
220;MARIPOSAS DE MINDO (MARIPOSARIO);17
221;MINDO CANOPY ADVENTURE;17
222;MINDO ZIPLINES;17
223;PARQUE CENTRAL DE MINDO;17
224;RÍO MINDO - TRAMO MINDO;17
225;BOULEVARD 24 DE MAYO;17
226;MONUMENTO A LA INDEPENDENCIA;17
227;PLAZA SANTA CLARA;17
228;IGLESIA CENTRAL DEL TOCACHI;17
229;IGLESIA DE MALCHINGUÍ;17
230;IGLESIA DE TABACUNDO;17
231;IGLESIA CENTRAL DE TUPIGACHI;17
232;FIESTA DEL MAIZ Y TURISMO;17
233;MAUSOLEO JUAN DE SALINAS;17
234;MERCADO EL TURISMO;17
235;MONUMENTO AYA HUMA;17
236;PARQUE EL EJIDO;17
237;PARQUE EL TURISMO;17
238;TOROS POPULARES;17
239;CENTRO CULTURAL VILLA CARMEN;17
240;RELOJ SOLAR QUITSATO;17
241;PAILON DEL DIABLO;18
242;SANTUARIO SEÑOR DEL TERREMOTO;18
243;CASCADA DE MUNDUG;18
244;PARQUE NACIONAL PODOCARPUS - BOMBUSCARO;19
245;EL GARRAPATERO;20
246;TORTUGA BAY;20
247;CENTRO DE CRIANZA FAUSTO LLERENA;20
248;LAGUNA LAS NINFAS;20
249;VOLCÁN SIERRA NEGRA;20
250;LAS TINTORERAS;20
251;LA RATONERA;20
252;LOS GEMELOS;20
253;PLAYA DE LA ESTACIÓN;20
254;PLAYA MANN;20
255;TÚNELES DE BELLAVISTA;20
256;MUSEO ARQUEOLÓGICO CENTRO CULTURAL ORELLANA;22
257;COCA ZOO;22
258;FERIA INDÍGENA;22
259;CASCADA KUSHNI PAKCHA;22
260;CENTRO ETNOBOTÁNICO ÑUCANCHI SACHA CAUSAY;22
261;CENTRO CULTURAL KICHWA SUPAY KUCHA;22
262;CENTRO DE INTERPRETACIÓN YAKU KAWSAY;22
263;COMUNIDAD KICHWA AÑANGU;22
264;LAGUNA DE AÑANGU;22
265;LAGUNA TARACOA;22
266;PARQUE DE NATURALEZA Y AVENTURA YASUNI LAND;22
267;LAGUNA SAPOCOCHA;22
268;LAGUNA YANACOCHA POMPEYA;22
269;LAGUNA YUTURI;22
270;MUSEO ALEJANDRO E INES;22
271;MUSEO TEMÁTICO OMAGUAS;22
272;SALADERO DE LOROS AÑANGU;22
273;PLAYA DE MONTAÑITA;24
274;CATEDRAL DE EMPERATRIZ DE SANTA ELENA;24
275;MUSEO AMANTES DE SUMPA;24
276;TALLERES DE SECADO DE PAJA TOQUILLA;24
277;MUSEO VENUS VALDIVIA;24
278;ARTESANÍAS DE LA COMUNA DOS MANGAS;24
279;BOSQUE TROPICAL DOS MANGAS;24
280;PARQUE MARINO VALDIVIA;24
281;PLAYA DE SAN LORENZO;24
282;PLAYA DE CHIPIPE;24
283;CEVICHELANDIA;24
